NAME;STUSAB;INTPTLAT;INTPTLON
Ford;IL;40.5965386;-88.2245882
Greene;VA;38.2979805;-78.4701629
Guam;GU;13.4417451;144.7719021
Harrison;OH;40.2923175;-81.0915651
Karnes;TX;28.9089957;-97.8522048
Scott;IL;39.6370016;-90.4777707
Warren;NY;43.5551053;-73.8381388
Washburn;WI;45.8924885;-91.7964217
Calhoun;GA;31.521279;-84.6262895
Kleberg;TX;27.4387348;-97.6606203
Berks;PA;40.4139565;-75.9268598
Berkshire;MA;42.371493;-73.2179276
Cleveland;NC;35.3346302;-81.5571145
Dallas;IA;41.6853205;-94.0407065
Warren;NC;36.3981051;-78.0998993
Wichita;TX;33.9882125;-98.7080098
Pamlico;NC;35.1475747;-76.6652684
Jessamine;KY;37.8732908;-84.5839603
Giles;TN;35.2027228;-87.035319
Sumner;KS;37.2366617;-97.4933519
White;GA;34.643776;-83.7434165
LaSalle;LA;31.6800826;-92.1615956
Johnson;IA;41.670668;-91.5905285
Fairbanks North Star;AK;64.6760436;-146.5481586
Ceiba;PR;18.2737491;-65.5308947
Florence;SC;34.0285346;-79.7102329
Anoka;MN;45.2741098;-93.2427232
Wicomico;MD;38.3673699;-75.6320828
Weld;CO;40.555961;-104.383666
Juniata;PA;40.530673;-77.4004377
Mecosta;MI;43.6352949;-85.3327509
Childress;TX;34.5246235;-100.2081658
Warren;KY;36.995634;-86.4235786
Davis;IA;40.7480892;-92.4103453
Levy;FL;29.2844566;-82.783462
Pulaski;MO;37.8248346;-92.2070224
Blaine;NE;41.931945;-99.9964074
Fisher;TX;32.7404728;-100.4031198
Coffee;GA;31.5492452;-82.8449401
Hardin;IA;42.3902079;-93.241669
Edgefield;SC;33.7764976;-81.9682452
Rockingham;NH;42.9886636;-71.0990801
San Augustine;TX;31.3824492;-94.1631796
Kosciusko;IN;41.2442928;-85.8615754
Hardin;TX;30.3296483;-94.3931782
Seneca;NY;42.7822943;-76.827088
Pendleton;WV;38.6744501;-79.3406175
Sherman;OR;45.3992158;-120.6785124
